#  Table of coefficients for aggregates of mixcolumnded rimed generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# created by Leonie von Terzi (email:lterzi@uni-koeln.de) on 2021-01-13 16:42:55 
# Particles generated with an inverse exponential PSD of monomers, size parameters varying from 50e-6 to 2.00e-3m, min_size:100e-6m,max_size=3000e-6m,grid_res:1e-5m,separation_size:1000e-6m 
# The following velocity fits were calculated with a power law fit from Boehm relation 
# am=0.14729008035094393,bm=1.947309276095654,av=7.553539561875695,bv=0.15698746502493557,aa=0.0733189059126438,ba=1.7362204765412201,monomer_alpha=0.3 
Diam_max,Dmax,area,mass,vel_Bohm,vel_KC,kappa,gamma,beta,zeta,alpha_eff
5.000000e-04,7.209638e-04,2.705000e-07,9.037035e-08,1.977252e+00,1.896837e+00,2.728643e-01,3.069455e+00,3.463860e-01,8.470903e-02,8.290297e-01
1.000000e-03,1.072983e-03,4.961000e-07,2.203533e-07,2.328014e+00,2.364529e+00,2.562814e-01,3.525712e+00,7.434039e-01,5.604020e-02,7.169517e-01
1.500000e-03,1.568000e-03,9.405000e-07,4.873997e-07,2.696992e+00,2.773176e+00,2.590452e-01,4.035553e+00,3.822705e+00,3.079234e-02,6.802984e-01
2.000000e-03,1.982328e-03,1.466250e-06,8.324911e-07,2.924443e+00,3.010381e+00,2.452261e-01,4.102278e+00,7.073431e+00,2.188381e-02,6.662758e-01
2.500000e-03,2.461526e-03,2.189500e-06,1.244605e-06,3.034973e+00,3.159632e+00,2.479899e-01,4.074514e+00,9.410813e+00,2.260374e-02,6.446990e-01
3.000000e-03,2.981754e-03,3.049500e-06,1.880575e-06,3.165076e+00,3.311966e+00,2.341709e-01,3.989486e+00,1.245985e+01,1.473191e-02,6.584317e-01
3.500000e-03,3.502397e-03,4.386300e-06,2.675645e-06,3.297185e+00,3.378364e+00,2.175879e-01,3.827575e+00,1.199924e+01,1.843943e-02,6.631717e-01
4.000000e-03,3.970561e-03,5.324250e-06,3.412717e-06,3.351473e+00,3.452151e+00,2.037688e-01,3.699068e+00,9.948109e+00,2.177108e-02,6.505783e-01
4.500000e-03,4.468037e-03,6.478400e-06,4.160820e-06,3.331881e+00,3.454608e+00,2.092965e-01,3.448930e+00,6.221311e+00,2.382367e-02,6.401620e-01
5.000000e-03,4.991128e-03,7.326300e-06,4.835334e-06,3.271167e+00,3.430952e+00,2.231156e-01,3.408490e+00,7.087744e+00,2.383449e-02,6.278571e-01
5.500000e-03,5.496384e-03,8.608400e-06,5.651753e-06,3.253413e+00,3.396074e+00,2.120603e-01,3.258218e+00,5.165632e+00,2.614409e-02,6.160691e-01
6.000000e-03,5.959155e-03,9.583100e-06,6.166849e-06,3.116915e+00,3.309883e+00,2.286432e-01,3.412622e+00,1.100825e+01,2.131151e-02,5.743902e-01
6.500000e-03,6.443794e-03,1.036735e-05,6.986301e-06,3.134151e+00,3.292452e+00,2.314070e-01,3.359689e+00,8.279099e+00,2.235720e-02,5.796983e-01
7.000000e-03,6.950818e-03,1.190780e-05,7.616187e-06,2.998214e+00,3.223865e+00,2.369347e-01,2.881611e+00,2.653904e+00,3.750723e-02,5.556092e-01
7.500000e-03,7.582221e-03,1.504070e-05,9.220359e-06,3.135967e+00,3.126769e+00,2.535176e-01,2.771356e+00,4.001010e+00,4.219421e-02,6.283364e-01
8.000000e-03,8.021620e-03,1.722535e-05,1.146469e-05,3.179226e+00,3.253377e+00,1.374372e-01,2.822081e+00,2.265544e+00,9.106192e-02,6.399617e-01
8.500000e-03,8.332297e-03,1.613540e-05,1.049899e-05,2.956201e+00,3.146977e+00,2.148241e-01,3.504056e+00,1.338430e+01,2.351628e-02,5.337559e-01
9.000000e-03,9.043169e-03,1.863910e-05,1.119007e-05,2.871694e+00,3.076244e+00,2.645729e-01,2.795392e+00,1.103716e+00,3.271559e-02,4.687819e-01
9.500000e-03,9.523036e-03,1.834540e-05,1.307915e-05,2.943743e+00,3.179753e+00,1.678392e-01,2.538446e+00,2.123177e+00,4.587623e-02,5.221679e-01
9.975000e-03,9.844680e-03,1.918460e-05,1.207389e-05,2.742891e+00,3.074836e+00,2.065327e-01,4.264459e+00,6.946946e+01,3.997534e-03,4.195159e-01
