#  Table of coefficients for aggregates of mixcolumnded rimed generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# created by Leonie von Terzi (email:lterzi@uni-koeln.de) on 2021-01-13 16:42:38 
# Particles generated with an inverse exponential PSD of monomers, size parameters varying from 50e-6 to 2.00e-3m, min_size:100e-6m,max_size=3000e-6m,grid_res:1e-5m,separation_size:1000e-6m 
# The following velocity fits were calculated with a power law fit from Boehm relation 
# am=0.123293203359263,bm=1.9375792837966632,av=7.193769602933712,bv=0.16009294538846605,aa=0.07152207076213889,ba=1.736298981478521,monomer_alpha=0.3 
Diam_max,Dmax,area,mass,vel_Bohm,vel_KC,kappa,gamma,beta,zeta,alpha_eff
5.000000e-04,6.860675e-04,2.110000e-07,6.694375e-08,1.758262e+00,1.730067e+00,2.452261e-01,3.354456e+00,6.284947e-01,7.696940e-02,7.961856e-01
1.000000e-03,1.069728e-03,4.819000e-07,1.902069e-07,2.153245e+00,2.221461e+00,2.673367e-01,3.504243e+00,8.379229e-01,6.041715e-02,6.925227e-01
1.500000e-03,1.537345e-03,9.074000e-07,4.220071e-07,2.519469e+00,2.628262e+00,2.673367e-01,3.926247e+00,3.114244e+00,3.120771e-02,6.641443e-01
2.000000e-03,1.979431e-03,1.458000e-06,7.572925e-07,2.770640e+00,2.885568e+00,2.479899e-01,4.000430e+00,6.851437e+00,2.621109e-02,6.756626e-01
2.500000e-03,2.480125e-03,2.129200e-06,1.145833e-06,2.881165e+00,3.025281e+00,2.424623e-01,3.915055e+00,8.226796e+00,2.146972e-02,6.544266e-01
3.000000e-03,2.982411e-03,2.978750e-06,1.649170e-06,2.978272e+00,3.115628e+00,2.286432e-01,3.946163e+00,1.168476e+01,1.970116e-02,6.330889e-01
3.500000e-03,3.515067e-03,4.143450e-06,2.272475e-06,3.040208e+00,3.202926e+00,2.258794e-01,3.735241e+00,1.032827e+01,1.775919e-02,6.452044e-01
4.000000e-03,4.010487e-03,5.098700e-06,3.042454e-06,3.121806e+00,3.296091e+00,2.037688e-01,3.558222e+00,8.293064e+00,1.953279e-02,6.431745e-01
4.500000e-03,4.504551e-03,6.395350e-06,3.658825e-06,3.126527e+00,3.293741e+00,1.982412e-01,3.365311e+00,6.554169e+00,2.531561e-02,6.430584e-01
5.000000e-03,4.959010e-03,7.173400e-06,4.303369e-06,3.085084e+00,3.265159e+00,2.203518e-01,3.219780e+00,4.535378e+00,2.948587e-02,6.039240e-01
5.500000e-03,5.448116e-03,8.366900e-06,5.009378e-06,3.056322e+00,3.249918e+00,2.092965e-01,2.942610e+00,4.024074e+00,3.231958e-02,6.324350e-01
6.000000e-03,5.968711e-03,9.830400e-06,5.544315e-06,2.972212e+00,3.197659e+00,2.562814e-01,2.916188e+00,3.521639e+00,3.337056e-02,6.006265e-01
6.500000e-03,6.512661e-03,1.055880e-05,6.599637e-06,2.988774e+00,3.201858e+00,2.258794e-01,2.836404e+00,3.150044e+00,3.629921e-02,5.971988e-01
7.000000e-03,6.943161e-03,1.347800e-05,7.702549e-06,2.959305e+00,3.087488e+00,2.452261e-01,3.043350e+00,4.161728e+00,2.840765e-02,5.662942e-01
7.500000e-03,7.479214e-03,1.385500e-05,7.786708e-06,2.846830e+00,3.059485e+00,2.701005e-01,2.955172e+00,4.543450e+00,1.879697e-02,5.617482e-01
8.000000e-03,7.979855e-03,1.531615e-05,8.344338e-06,2.825293e+00,3.022579e+00,2.258794e-01,2.711535e+00,3.986177e+00,2.840920e-02,5.942978e-01
8.500000e-03,8.419794e-03,1.682400e-05,9.654525e-06,2.777061e+00,2.996285e+00,2.120603e-01,2.550126e+00,2.167156e+00,5.872365e-02,5.679465e-01
9.000000e-03,8.944006e-03,1.650895e-05,9.633503e-06,2.708303e+00,3.012144e+00,1.982412e-01,2.799179e+00,2.430326e+00,4.592741e-02,5.092265e-01
9.500000e-03,9.467617e-03,1.691895e-05,1.004033e-05,2.640704e+00,3.042797e+00,1.844221e-01,2.726695e+00,1.566817e+00,4.971466e-02,5.213153e-01
9.975000e-03,9.920251e-03,1.986105e-05,1.074078e-05,2.567032e+00,2.891955e+00,2.590452e-01,1.930131e+00,5.456118e-01,1.175576e-01,4.521182e-01
