#  Table of coefficients for aggregates of mixcolumnded rimed generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# created by Leonie von Terzi (email:lterzi@uni-koeln.de) on 2021-01-12 18:16:13 
# Particles generated with an inverse exponential PSD of monomers, size parameters varying from 50e-6 to 2.00e-3m, min_size:100e-6m,max_size=3000e-6m,grid_res:1e-5m,separation_size:1000e-6m 
# The following velocity fits were calculated with a power law fit from Boehm relation 
# am=0.09441606390850117,bm=1.9161285571816509,av=6.48185570913209,bv=0.15573555853332705,aa=0.06955647848519356,ba=1.7368674550658805,monomer_alpha=0.3 
Diam_max,Dmax,area,mass,vel_Bohm,vel_KC,kappa,gamma,beta,zeta,alpha_eff
5.000000e-04,6.741799e-04,2.187000e-07,6.294288e-08,1.622960e+00,1.703803e+00,2.535176e-01,3.071838e+00,3.941313e-01,6.113213e-02,7.737524e-01
1.000000e-03,1.067027e-03,4.698000e-07,1.693378e-07,2.039094e+00,2.171930e+00,2.590452e-01,3.555306e+00,1.264021e+00,4.818306e-02,6.995392e-01
1.500000e-03,1.525073e-03,8.693500e-07,3.657097e-07,2.346146e+00,2.472832e+00,2.673367e-01,3.925032e+00,3.913070e+00,2.863187e-02,6.552847e-01
2.000000e-03,1.986199e-03,1.388200e-06,6.347616e-07,2.531618e+00,2.702354e+00,2.452261e-01,3.903180e+00,6.303950e+00,3.046395e-02,6.355491e-01
2.500000e-03,2.517526e-03,2.079600e-06,1.006809e-06,2.667892e+00,2.856578e+00,2.369347e-01,3.839816e+00,9.033606e+00,2.057774e-02,6.377796e-01
3.000000e-03,2.988957e-03,2.982600e-06,1.460505e-06,2.756310e+00,2.962492e+00,2.258794e-01,3.671146e+00,9.148099e+00,2.230753e-02,6.495555e-01
3.500000e-03,3.499778e-03,4.119600e-06,2.108733e-06,2.924927e+00,3.066072e+00,2.120603e-01,3.539271e+00,8.324270e+00,1.972045e-02,6.713214e-01
4.000000e-03,3.994406e-03,4.978950e-06,2.573973e-06,2.862587e+00,3.089925e+00,2.092965e-01,3.476063e+00,8.038975e+00,2.155443e-02,6.415353e-01
4.500000e-03,4.534761e-03,6.227900e-06,3.208971e-06,2.894491e+00,3.107761e+00,2.065327e-01,3.219461e+00,6.549048e+00,2.504519e-02,6.549482e-01
5.000000e-03,4.960312e-03,7.156600e-06,3.841394e-06,2.894839e+00,3.122742e+00,1.982412e-01,3.052334e+00,4.107613e+00,3.164693e-02,6.228004e-01
5.500000e-03,5.475747e-03,8.443850e-06,4.273319e-06,2.822384e+00,3.060909e+00,2.258794e-01,3.097495e+00,4.808437e+00,2.657954e-02,5.975120e-01
6.000000e-03,5.952985e-03,9.372000e-06,4.772313e-06,2.784367e+00,3.018288e+00,2.286432e-01,2.976147e+00,4.024875e+00,3.027069e-02,6.003656e-01
6.500000e-03,6.520820e-03,1.088360e-05,5.643537e-06,2.741809e+00,3.030569e+00,2.231156e-01,2.840293e+00,3.021791e+00,4.363913e-02,5.964065e-01
7.000000e-03,6.894535e-03,1.185205e-05,5.733594e-06,2.642719e+00,2.931613e+00,2.286432e-01,2.759834e+00,2.976989e+00,4.836511e-02,5.499975e-01
7.500000e-03,7.439501e-03,1.262975e-05,6.577342e-06,2.642842e+00,2.938373e+00,2.562814e-01,2.605874e+00,2.783715e+00,4.275456e-02,5.700773e-01
8.000000e-03,8.109035e-03,1.530940e-05,7.446062e-06,2.607572e+00,2.870599e+00,2.258794e-01,3.016159e+00,4.800984e+00,2.999902e-02,5.153969e-01
8.500000e-03,8.440842e-03,1.661990e-05,8.737258e-06,2.648831e+00,2.866672e+00,1.595477e-01,2.431327e+00,2.142331e+00,2.699359e-02,5.774549e-01
9.000000e-03,8.926362e-03,1.572700e-05,8.207937e-06,2.511071e+00,2.828816e+00,2.010050e-01,2.428897e+00,2.605858e+00,4.102293e-02,5.736138e-01
